Spiel_ID;Spieltag;Datum;Uhrzeit;Heim;Gast;Tore_Heim;Tore_Gast;
1;1;2013-08-09;20:30:00;1;7;3;1;
2;1;2013-08-10;15:30:00;10;14;2;2;
3;1;2013-08-10;15:30:00;3;17;3;1;
4;1;2013-08-10;15:30:00;11;5;2;0;
5;1;2013-08-10;15:30:00;9;2;0;4;
6;1;2013-08-10;15:30:00;8;12;6;1;
7;1;2013-08-10;18:30:00;18;13;0;1;
8;1;2013-08-11;15:30:00;6;15;3;2;
9;1;2013-08-11;17:30:00;4;16;3;3;
10;2;2013-08-17;15:30:00;15;3;0;1;
11;2;2013-08-17;15:30:00;5;4;4;0;
12;2;2013-08-17;15:30:00;13;9;1;0;
13;2;2013-08-17;15:30:00;17;6;1;2;
14;2;2013-08-17;15:30:00;16;10;1;5;
15;2;2013-08-17;15:30:00;12;1;0;1;
16;2;2013-08-17;18:30:00;7;11;3;0;
17;2;2013-08-18;15:30:00;14;8;2;2;
18;2;2013-08-18;17:30:00;2;18;2;1;
19;3;2013-08-23;20:30:00;2;13;1;0;
20;3;2013-08-24;15:30:00;1;14;2;0;
21;3;2013-08-24;15:30:00;3;7;4;2;
22;3;2013-08-24;15:30:00;11;4;2;1;
23;3;2013-08-24;15:30:00;10;17;3;3;
24;3;2013-08-24;15:30:00;6;5;2;0;
25;3;2013-08-24;18:30:00;8;16;1;0;
26;3;2013-08-25;15:30:00;18;12;0;2;
27;3;2013-08-25;17:30:00;9;15;2;1;
28;4;2013-08-27;18:30:00;17;1;1;1;
29;4;2013-08-31;15:30:00;7;13;4;1;
30;4;2013-08-31;15:30:00;11;6;4;1;
31;4;2013-08-31;15:30:00;5;8;2;0;
32;4;2013-08-31;15:30:00;14;9;0;1;
33;4;2013-08-31;15:30:00;16;18;4;0;
34;4;2013-08-31;18:30:00;4;3;2;0;
35;4;2013-09-01;15:30:00;15;10;6;2;
36;4;2013-09-01;17:30:00;12;2;1;2;
37;5;2013-09-13;20:30:00;8;15;0;1;
38;5;2013-09-14;15:30:00;1;11;2;0;
39;5;2013-09-14;15:30:00;3;5;3;1;
40;5;2013-09-14;15:30:00;13;12;0;3;
41;5;2013-09-14;15:30:00;6;4;0;1;
42;5;2013-09-14;15:30:00;9;17;2;1;
43;5;2013-09-14;18:30:00;2;16;6;2;
44;5;2013-09-15;15:30:00;10;7;2;1;
45;5;2013-09-15;17:30:00;18;14;1;1;
46;6;2013-09-20;20:30:00;7;18;4;1;
47;6;2013-09-21;15:30:00;11;9;2;1;
48;6;2013-09-21;15:30:00;5;10;2;1;
49;6;2013-09-21;15:30:00;14;2;1;1;
50;6;2013-09-21;15:30:00;6;3;1;4;
51;6;2013-09-21;15:30:00;16;13;0;2;
52;6;2013-09-21;18:30:00;4;1;0;4;
53;6;2013-09-22;15:30:00;17;8;1;1;
54;6;2013-09-22;17:30:00;15;12;1;1;
55;7;2013-09-27;20:30:00;9;7;2;2;
56;7;2013-09-28;15:30:00;2;17;5;0;
57;7;2013-09-28;15:30:00;1;5;1;0;
58;7;2013-09-28;15:30:00;3;11;2;0;
59;7;2013-09-28;15:30:00;10;4;3;3;
60;7;2013-09-28;15:30:00;8;6;3;1;
61;7;2013-09-28;18:30:00;12;16;2;2;
62;7;2013-09-29;15:30:00;13;14;3;3;
63;7;2013-09-29;17:30:00;18;15;0;4;
64;8;2013-10-04;20:30:00;11;8;1;1;
65;8;2013-10-05;15:30:00;4;9;4;1;
66;8;2013-10-05;15:30:00;7;2;2;0;
