Spieler_ID;Vereins_ID;Trikot_Nr;Spieler_Name;Land;Spiele;Tore;Vorlagen;
1;1;1;Manuel Neuer;D;30;0;0;
2;1;22;Tom Starke;D;2;0;0;
3;1;32;Lukas Raeder;D;2;0;1;
4;1;4;Dante;BRA;28;2;1;
5;1;21;Philipp Lahm;D;28;1;4;
6;1;13;Rafinha;BRA;27;0;7;
7;1;27;David Alaba;A;27;2;6;
8;1;17;Jerome Boateng;D;25;1;1;
9;1;5;Daniel van Buyten;B;11;1;0;
10;1;26;Diego Contento;D;10;0;1;
11;1;15;Jan Kirchhoff;D;7;0;0;
12;1;0;Ylli Sallahi;A;1;0;0;
13;1;28;Holger Badstuber;D;0;0;0;
14;1;25;Thomas Müller;D;30;13;12;
15;1;39;Toni Kroos;D;28;2;4;
16;1;10;Arjen Robben;NL;27;11;7;
17;1;19;Mario Götze;D;27;10;8;
18;1;7;Franck Ribery;F;22;10;12;
19;1;31;Bastian Schweinsteiger;D;22;4;4;
20;1;8;Javier Martinez;E;17;0;0;
21;1;11;Xherdan Shaqiri;CH;17;6;2;
22;1;6;Thiago;E;16;2;3;
23;1;34;Pierre Emil Höjbjerg;DEN;6;0;1;
24;1;23;Mitchell-Elijah Weiser;D;3;0;0;
25;1;0;Luiz Gustavo;BRA;0;0;0;
26;1;0;Emre Can;TUR/D;0;0;0;
27;1;0;Julian Green;D;0;0;0;
28;1;9;Mario Mandzukic;CRO;29;18;5;
29;1;14;Claudio Pizarro;PER;16;9;3;
30;1;20;Patrick Weihrauch;D;0;0;0;
31;1;0;Mario Gomez;D;0;0;0;
32;2;1;Roman Weidenfeller;D;29;0;0;
33;2;20;Mitchell Langerak;AUS;4;0;0;
34;2;33;Zlatan Alomerovic;D;0;0;0;
35;2;25;Sokratis;GR;27;1;2;
36;2;15;Mats Hummels;D;22;2;1;
37;2;26;Lukasz Piszczek;PL;18;3;0;
38;2;29;Marcel Schmelzer;D;18;1;3;
39;2;2;Manuel Friedrich;D;10;1;1;
40;2;4;Neven Subotic;SER/USA;10;0;0;
41;2;21;Oliver Kirch;D;7;1;0;
42;2;24;Marian Sarr;D;2;0;0;
43;2;30;Koray Günter;D;1;0;0;
44;2;18;Nuri Sahin;TUR;33;2;3;
45;2;19;Kevin Großkreutz;D;32;1;3;
46;2;10;Henrikh Mkhitaryan;ARM;30;8;9;
47;2;11;Marco Reus;D;29;16;14;
48;2;7;Jonas Hofmann;D;26;2;4;
49;2;6;Sven Bender;D;19;1;0;
50;2;37;Erik Durm;D;19;0;0;
51;2;5;Sebastian Kehl;D;17;1;1;
52;2;16;Jakub Blaszczykowski;PL;16;2;2;
53;2;14;Milos Jojic;SER;9;3;1;
54;2;8;Ilkay Gündogan;D;1;0;0;
55;2;28;Mustafa Amini;AUS;0;0;0;
56;2;9;Robert Lewandowski;PL;32;18;7;
57;2;17;Pierre-Emerick Aubameyang;GAB;31;13;3;
58;2;23;Julian Schieber;D;12;0;0;
59;2;34;Marvin Ducksch;D;6;0;0;
60;4;1;Ralf Fährmann;D;21;0;0;
61;4;34;Timo Hildebrand;D;12;0;0;
62;4;36;Lars Unnerstall;D;0;0;0;
63;4;32;Joel Matip;CMR/D;30;2;1;
64;4;6;Sead Kolasinac;D/CRO;23;0;3;
65;4;5;Felipe Santana;BRA;20;1;1;
66;4;2;Tim Hoogland;D;18;0;0;
67;4;4;Benedikt Höwedes;D;18;1;0;
68;4;22;Atsuto Uchida;JAP;17;0;4;
69;4;23;Christian Fuchs;A;16;0;3;
70;4;24;Kaan Ayhan;D;13;1;0;
71;4;15;Dennis Aogo;D;9;0;4;
72;4;14;Kyriakos Papadopoulos;GR;4;0;0;
73;4;3;Jan Kirchhoff;D;1;0;0;
74;4;33;Roman Neustädter;D;31;1;2;
75;4;7;Maximilian Meyer;D;29;6;2;
76;4;9;Kevin-Prince Boateng;GHA/D;26;6;3;
77;4;10;Julian Draxler;D;25;1;6;
78;4;8;Leon Goretzka;D;24;4;2;
79;4;13;Jermaine Jones;D/USA;14;1;1;
80;4;11;Christian Clemens;D;11;0;2;
81;4;12;Marco Höger;D;8;2;0;
82;4;40;Anthony Annan;GHA;3;0;0;
83;4;0;Tranquillo Barnetta;CH;1;0;0;
84;4;0;Leroy Sané;D/F;1;0;0;
85;4;15;Vasilios Pliatsikas;GR;0;0;0;
86;4;30;René Klingenburg;D;0;0;0;
87;4;0;Joseph Boyamba;D;0;0;0;
88;4;28;Adam Szalai;HUN;27;7;2;
89;4;17;Jefferson Farfan;PER;19;9;8;
90;4;25;Klaas Jan Huntelaar;NL;18;12;1;
91;4;19;Chinedu Obasi;NGA;14;2;1;
92;4;0;Philipp Max;D;2;0;0;
93;4;20;Teemu Pukki;FIN;1;0;0;
94;4;18;Gerald Asamoah;D;0;0;0;
95;4;0;Donis Avdijaj;D;0;0;0;
96;3;1;Bernd Leno;D;33;0;0;
97;3;22;David Yelldell;USA;0;0;0;
98;3;25;Andrés Palop;E;0;0;0;
99;3;36;Niklas Lomb;D;0;0;0;
100;3;21;Ömer Toprak;TUR/D;27;0;1;
101;3;5;Emir Spahic;BOS;26;2;2;
102;3;17;Sebastian Boenisch;D;24;1;5;
103;3;26;Giulio Donati;I;22;0;1;
104;3;4;Philipp Wollscheid;D;20;0;0;
105;3;14;Roberto Hilbert;D;16;1;1;
106;3;20;José Andrés Guardado;MEX;4;0;0;
107;3;2;Kostas Stafylidis;GR;1;0;0;
108;3;34;Nico Perrey;D;0;0;0;
109;3;0;Paul Voß;D;0;0;0;
110;3;6;Simon Rolfes;D;30;4;4;
111;3;27;Gonzalo Castro;D/E;29;5;10;
112;3;8;Lars Bender;D;28;3;1;
113;3;10;Emre Can;TUR/D;28;3;2;
114;3;18;Sidney Sam;D;21;8;7;
115;3;13;Jens Hegeler;D;18;0;3;
116;3;23;Robbie Kruse;AUS;15;2;2;
117;3;3;Stefan Reinartz;D;14;0;1;
118;3;15;Levin Öztunali;D;9;0;0;
119;3;31;Dominik Kohr;D;2;0;0;
120;3;29;Luca Dürholtz;D;0;0;0;
121;3;32;Jonas Meffert;D;0;0;0;
122;3;0;Michael Ortega;KOL;0;0;0;
123;3;0;Julian Riedel;FIN/D;0;0;0;
124;3;0;Erik Zenga;D;0;0;0;
125;3;0;Maximilian Wagener;D;0;0;0;
126;3;11;Stefan Kießling;D;32;15;6;
127;3;7;Heung-Min Son;KOR;30;9;4;
128;3;9;Eren Derdiyok;CH;16;1;1;
129;3;19;Julian Brandt;D;11;2;2;
130;3;24;Seung-Woo Ryu;KOR;2;0;0;
131;3;0;Arkadiusz Milik;PL;0;0;0;
132;5;1;Diego Benaglio;CH;28;0;0;
133;5;20;Max Grün;D;6;0;0;
134;5;21;Patrick Drewes;D;0;0;0;
135;5;34;Ricardo Rodríguez;CH/E;33;5;7;
136;5;25;Naldo;BRA;32;3;2;
137;5;31;Robin Knoche;D;31;2;1;
138;5;15;Christian Träsch;D;21;0;2;
139;5;4;Marcel Schäfer;D;20;1;2;
140;5;2;Patrick Ochs;D;17;0;3;
141;5;5;Timm Klose;CH;10;0;0;
142;5;26;Felipe Lopes;BRA;0;0;0;
143;5;37;Moritz Sprenger;D;0;0;0;
144;5;0;Bjarne Thoelke;D;0;0;0;
145;5;9;Ivan Perisic;CRO;32;9;5;
146;5;22;Luiz Gustavo;BRA;28;4;3;
147;5;27;Maximilian Arnold;D;27;7;3;
148;5;7;Daniel Caligiuri;I/D;23;1;1;
149;5;6;Slobodan Medojevic;SER;20;0;0;
150;5;29;Jan Polak;CZE;17;0;0;
151;5;14;Kevin De Bruyne;B;15;2;6;
152;5;0;Diego;BRA;15;3;2;
153;5;8;Vieirinha;POR;10;1;1;
154;5;0;Ja-Cheol Koo;KOR;10;0;0;
155;5;19;Junior Malanda;B;7;2;1;
156;5;0;Makoto Hasebe;JAP;1;0;0;
157;5;33;Paul Seguin;D;0;0;0;
